	Dekker_et_al_individual2_CHX	Dekker_et_al_individual2_untreated	Dekker_et_al_individual4_CHX	Dekker_et_al_individual4_untreated	Dekker_et_al_individual3_CHX	Dekker_et_al_individual3_untreated	Dekker_et_al_individual1_CHX	Dekker_et_al_individual1_untreated	Dekker_et_al_individual5_CHX	Dekker_et_al_individual5_untreated	Dekker_et_al_individual9_CHX	Dekker_et_al_individual9_untreated	Dekker_et_al_individual7_CHX	Dekker_et_al_individual7_untreated	Dekker_et_al_individual8_CHX	Dekker_et_al_individual8_untreated	Dekker_et_al_individual6_CHX	Dekker_et_al_individual6_untreated
chr1_12408879_12409030_VPS13D-NM_015378.4	13	77	47	58	18	7	113	63	43	46	142	111	93	190	53	72	52	50
chr1_12409220_12409431_VPS13D-NM_015378.4	15	82	47	67	14	14	123	74	54	58	161	128	103	252	61	94	48	51
chr1_12414030_12414278_VPS13D-NM_015378.4	11	111	40	97	11	27	133	64	68	65	166	136	101	248	66	92	48	56
chr1_12415955_12416147_VPS13D-NM_015378.4	7	100	41	91	8	23	115	66	61	79	163	149	92	217	67	82	45	56
chr1_12416454_12416581_VPS13D-NM_015378.4	6	93	44	97	3	19	116	60	51	67	119	134	78	198	62	80	42	42
chr1_12418514_12418657_VPS13D-NM_015378.4	4	105	42	109	3	24	121	69	55	72	129	122	87	237	49	74	63	53
chr1_12422775_12422906_VPS13D-NM_015378.4	9	93	39	97	4	23	117	75	50	69	126	137	89	250	41	71	52	55
chr1_12423127_12423303_VPS13D-NM_015378.4	12	102	48	100	5	27	142	96	61	81	165	152	103	284	60	101	51	55
chr1_12428522_12428646_VPS13D-NM_015378.4	8	104	35	90	4	21	127	83	56	77	146	104	94	281	56	72	51	33
chr1_12429521_12429757_VPS13D-NM_015378.4	17	147	52	143	9	28	206	116	89	104	238	159	160	431	82	106	76	75
chr1_12433804_12433913_VPS13D-NM_015378.4	13	89	38	87	6	18	120	72	61	66	163	106	120	322	56	64	40	54
chr1_12438481_12438645_VPS13D-NM_015378.4	10	119	44	135	12	28	132	89	67	88	194	136	155	375	65	94	55	70
chr1_12439541_12439650_VPS13D-NM_015378.4	7	105	38	105	9	19	120	67	58	80	159	118	115	322	65	95	44	63
chr1_12443034_12443214_VPS13D-NM_015378.4	15	120	57	132	15	21	154	69	84	91	207	155	143	456	99	118	58	78
chr1_12445318_12445432_VPS13D-NM_015378.4	14	93	52	113	15	16	109	68	68	74	164	148	127	350	91	102	50	67
chr1_12446243_12446393_VPS13D-NM_015378.4	19	118	63	133	16	26	148	92	69	94	189	188	185	425	104	119	75	81
chr1_12460237_12460387_VPS13D-NM_015378.4	21	135	47	130	16	31	144	95	65	95	220	174	188	419	103	109	74	78
chr1_12461660_12461757_VPS13D-NM_015378.4	16	113	37	88	10	31	98	77	43	73	174	139	153	276	74	78	47	62
chr1_12463877_12464026_VPS13D-NM_015378.4	20	146	48	145	14	47	148	108	67	101	250	186	193	421	116	110	66	83
chr1_12475139_12475274_VPS13D-NM_015378.4	20	124	41	142	17	34	135	113	70	94	237	181	179	415	102	97	66	71
chr1_12476712_12476880_VPS13D-NM_015378.4	16	125	55	134	15	30	133	110	85	89	237	216	189	490	104	112	55	90
chr1_12516053_12516186_VPS13D-NM_015378.4	16	112	70	103	15	29	129	94	73	81	207	187	177	414	96	97	46	82
chr1_12520255_12520451_VPS13D-NM_015378.4	23	134	98	152	19	31	173	112	81	117	265	236	240	500	122	123	55	106
chr1_12557553_12557685_VPS13D-NM_015378.4	25	119	86	150	13	27	134	101	70	94	232	212	203	408	94	116	57	82
chr1_12566906_12567147_VPS13D-NM_015378.4	32	159	95	192	0	0	176	124	89	130	301	272	294	566	128	142	91	114
chr1_12568946_12569075_VPS13D-NM_015378.4	25	127	76	122	0	0	133	71	62	85	198	177	192	378	83	89	75	66
chr1_19992246_19992960_HTR6-NM_000871.3	1	0	4	0	8	2	11	1	4	0	2	1	15	1	1	0	3	0
chr1_20005059_20005218_HTR6-NM_000871.3	0	1	1	0	7	0	3	1	2	0	2	2	7	2	0	0	1	0
chr1_20005411_20005858_HTR6-NM_000871.3	2	2	1	0	16	2	3	3	1	0	4	4	10	7	1	0	1	1
chr1_28856378_28856451_RCC1-NM_001048199.2	165	174	406	310	483	249	1058	167	499	111	1967	314	445	1144	397	305	467	168
chr1_28857034_28857085_RCC1-NM_001048195.3	56	68	142	116	129	105	204	70	172	44	573	147	182	518	144	107	116	89
chr1_28857034_28857127_RCC1-NM_001048194.3	63	76	156	119	131	110	221	75	181	45	613	155	189	574	149	115	124	91
chr1_28858314_28858502_RCC1-NM_001048199.2	279	283	714	580	750	434	1789	369	832	261	3289	703	764	2038	701	519	731	343
chr1_28858682_28858862_RCC1-NM_001048199.2	221	296	701	553	732	426	1899	408	875	312	3400	804	713	1947	644	492	640	257
chr1_28861561_28861658_RCC1-NM_001048199.2	171	224	519	435	573	336	1464	298	654	255	2798	641	498	1422	464	399	445	186
chr1_28861769_28861892_RCC1-NM_001048199.2	165	216	498	452	571	329	1521	300	640	283	2847	688	476	1266	462	391	440	195
chr1_28862382_28862538_RCC1-NM_001048199.2	197	269	613	513	653	356	1779	378	690	329	3346	796	546	1384	574	441	536	231
chr1_28862773_28862893_RCC1-NM_001048199.2	196	209	536	422	512	259	1429	329	608	251	2714	614	450	1067	487	387	506	210
chr1_28863258_28863411_RCC1-NM_001048199.2	200	240	600	480	568	308	1609	365	745	290	3074	706	494	1272	552	474	537	273
chr1_28864343_28864516_RCC1-NM_001048199.2	204	230	620	463	642	323	1625	338	764	307	3115	740	495	1286	593	517	576	308
chr1_40027372_40027459_PABPC4-NM_003819.4	180	547	188	948	507	949	866	866	660	789	970	1921	411	4124	373	1108	219	875
chr1_40027744_40027875_PABPC4-NM_003819.4	233	810	297	1577	826	1446	1422	1395	1078	1225	1533	2869	578	5708	581	1687	359	1250
chr1_40027994_40028088_PABPC4-NM_003819.4	196	713	295	1489	812	1468	1444	1360	1111	1234	1578	2732	556	5276	539	1538	334	1090
chr1_40029285_40029413_PABPC4-NM_003819.4	231	824	322	1728	1040	1903	1763	1601	1323	1390	1871	3463	618	6178	637	1850	345	1294
chr1_40029507_40029594_PABPC4-NM_003819.4	288	742	292	1473	866	1676	1535	1412	1095	1149	1650	2963	548	5791	577	1464	278	1155
chr1_40030094_40030214_PABPC4-NM_001135654.2	327	1016	344	1778	1050	1911	1907	1671	1392	1412	1979	3632	705	7696	695	1959	431	1471
chr1_40030142_40030214_PABPC4-NM_003819.4	272	919	304	1564	911	1725	1728	1512	1255	1269	1805	3289	640	7046	629	1757	390	1344
chr1_40030357_40030445_PABPC4-NM_003819.4	222	1082	309	1694	878	1879	1617	1630	1211	1425	1758	3426	672	7886	614	1956	401	1420
chr1_40030777_40031050_PABPC4-NM_003819.4	422	1637	532	2626	1441	2844	2588	2467	1908	2065	2850	5018	1156	12866	1053	3067	682	2154
chr1_40033422_40033518_PABPC4-NM_003819.4	280	1053	333	1514	850	1534	1490	1362	1021	1182	1587	2751	775	8420	688	2012	366	1309
chr1_40034473_40034611_PABPC4-NM_003819.4	333	1215	400	1761	1065	1717	1593	1514	1140	1346	1675	3004	881	9041	726	2411	408	1529
chr1_40035266_40035361_PABPC4-NM_003819.4	255	833	300	1348	876	1329	1133	1072	837	978	1192	2180	673	6692	550	1808	340	1185
chr1_40035534_40035674_PABPC4-NM_003819.4	281	1000	325	1544	1001	1530	1335	1275	989	1216	1462	2706	778	7233	660	2112	454	1397
chr1_40036905_40037021_PABPC4-NM_003819.4	270	825	257	1302	881	1347	1138	1073	887	1010	1267	2345	554	5969	517	1716	408	1228
chr1_40038064_40038258_PABPC4-NM_003819.4	258	800	232	1224	818	1359	1155	1090	871	1023	1264	2398	535	5390	511	1571	380	1156
chr1_40041430_40041623_PABPC4-NM_003819.4	151	551	149	868	504	961	821	786	605	716	902	1746	353	3540	329	979	261	713
chr1_44401328_44401388_ARTN-NM_057090.2	5	0	19	3	47	4	67	1	16	0	94	5	36	7	25	2	78	1
chr1_44401740_44401903_ARTN-NM_057090.2	9	1	22	2	47	3	46	0	16	0	94	5	33	7	17	2	70	1
chr1_44401764_44401903_ARTN-NM_057091.3	9	1	21	2	44	3	39	0	14	0	89	5	31	7	16	2	64	1
chr1_44401973_44402434_ARTN-NM_057090.2	8	1	31	2	68	3	69	2	20	1	158	5	46	9	24	5	62	0
chr1_47137606_47137643_TEX38-NM_001145474.4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
chr1_47138544_47139125_TEX38-NM_001145474.4	0	2	0	0	6	0	0	0	0	2	2	0	4	0	2	2	1	0
chr1_47138669_47139125_TEX38-NM_001300863.2	0	2	0	0	6	0	0	0	0	1	2	0	3	0	2	2	1	0
chr1_47138735_47139125_TEX38-NM_001300864.2	0	2	0	0	6	0	0	0	0	1	1	0	3	0	2	1	0	0
chr1_47649645_47649715_PDZK1IP1-NM_005764.4	67	0	8	0	155	0	606	1	164	0	199	0	15	1	8	0	92	0
chr1_47650673_47650769_PDZK1IP1-NM_005764.4	81	0	11	0	172	0	748	1	210	1	253	0	19	1	7	0	120	0
chr1_47652990_47653099_PDZK1IP1-NM_005764.4	80	0	7	0	159	0	706	0	198	1	238	0	11	0	3	0	105	0
chr1_47655537_47655604_PDZK1IP1-NM_005764.4	71	0	5	0	151	0	661	0	212	0	212	0	15	0	9	0	114	0
chr1_62228564_62228586_PATJ-NM_001350145.2	2	11	7	8	10	12	9	7	12	16	23	25	12	28	6	5	3	8
chr1_62228684_62228851_PATJ-NM_001350145.2	2	23	17	22	16	19	18	18	19	22	43	49	20	56	6	12	12	15
chr1_62231950_62232145_PATJ-NM_001350145.2	5	26	19	26	28	30	33	28	22	24	56	45	20	61	10	19	22	13
chr1_62234954_62235094_PATJ-NM_001350145.2	6	28	14	21	32	37	39	27	21	18	47	30	23	47	14	26	24	14
chr1_62237102_62237298_PATJ-NM_001350145.2	13	37	14	37	32	60	37	32	29	17	67	46	33	66	15	45	29	15
chr1_62240877_62241006_PATJ-NM_001350145.2	12	37	7	44	29	54	30	36	28	17	58	40	36	76	14	37	29	14
chr1_62253425_62253644_PATJ-NM_001350145.2	14	52	14	69	45	67	35	39	35	30	74	55	54	122	23	40	43	27
chr1_62257019_62257119_PATJ-NM_001350145.2	6	23	9	28	32	22	22	18	13	23	53	31	24	65	15	22	11	12
chr1_62261138_62261230_PATJ-NM_001350145.2	9	28	6	30	32	29	18	18	16	14	64	37	26	73	19	26	10	11
chr1_62262958_62263100_PATJ-NM_001350145.2	10	34	11	36	37	36	16	22	23	29	70	58	29	94	24	34	21	14
chr1_62267294_62267441_PATJ-NM_001350145.2	9	40	13	38	31	33	24	25	22	33	70	52	34	117	26	33	26	19
chr1_62271119_62271196_PATJ-NM_001350145.2	8	38	11	33	31	24	26	20	15	25	65	36	30	114	25	24	22	13
chr1_62274145_62274202_PATJ-NM_001350145.2	8	33	12	28	30	25	29	29	12	28	77	37	21	107	25	24	21	7
chr1_62288616_62288751_PATJ-NM_001350145.2	12	31	15	39	40	31	39	36	16	41	84	52	22	158	24	26	23	15
chr1_62293093_62293255_PATJ-NM_001350145.2	9	22	13	35	32	34	35	26	17	51	67	52	21	166	11	32	19	19
chr1_62299325_62299457_PATJ-NM_001350145.2	2	20	16	29	31	41	26	25	21	36	55	49	25	131	16	44	18	23
chr1_62321701_62321911_PATJ-NM_001350145.2	4	20	15	40	34	58	43	33	21	35	76	56	29	126	18	48	21	31
chr1_62327222_62327339_PATJ-NM_001350145.2	6	15	13	32	23	48	43	27	20	28	60	38	31	89	13	31	22	27
chr1_62329909_62330305_PATJ-NM_001350145.2	16	44	17	80	62	119	70	60	56	51	136	80	64	216	30	66	43	42
chr1_62340914_62341038_PATJ-NM_001350145.2	6	24	12	51	37	47	31	27	33	22	71	53	29	121	14	32	27	19
chr1_62349908_62350080_PATJ-NM_001350145.2	6	28	19	51	38	30	30	31	32	18	70	53	44	102	9	41	35	22
chr1_62365254_62365326_PATJ-NM_001350145.2	6	19	10	34	25	19	21	17	18	17	45	39	28	69	5	24	20	17
chr1_62366953_62367131_PATJ-NM_001350145.2	9	33	16	54	25	38	40	28	27	35	68	59	41	122	9	37	21	33
chr1_62374043_62374154_PATJ-NM_001350145.2	7	24	10	49	23	32	40	26	28	25	55	45	30	100	13	32	13	19
chr1_62380258_62380336_PATJ-NM_001350145.2	7	20	13	32	25	25	34	24	23	25	49	45	24	109	15	33	19	21
chr1_62393401_62393501_PATJ-NM_001350145.2	6	19	11	35	24	27	32	24	21	16	68	41	24	101	20	31	24	20
chr1_62455839_62456036_PATJ-NM_001350145.2	3	31	20	55	23	53	41	39	23	33	73	54	42	134	19	40	37	30
chr1_62483527_62483619_PATJ-NM_001350145.2	5	26	14	38	18	37	21	23	14	26	44	31	30	61	8	22	9	16
chr1_62503648_62503721_PATJ-NM_001350145.2	5	29	12	36	15	40	22	16	19	26	52	35	35	77	13	27	20	12
chr1_62516637_62516730_PATJ-NM_001350145.2	7	34	11	37	21	35	22	24	19	28	57	31	38	106	14	29	25	15
chr1_62545121_62545239_PATJ-NM_001350145.2	3	28	17	34	19	34	15	30	17	33	58	31	37	110	19	24	22	18
chr1_62550186_62550320_PATJ-NM_001350145.2	0	33	17	36	19	44	17	32	17	33	58	33	30	124	19	30	22	15
chr1_62574108_62574192_PATJ-NM_001350145.2	3	35	11	30	16	29	16	31	12	31	36	19	21	105	17	30	17	10
chr1_62579724_62579918_PATJ-NM_001350145.2	11	64	27	52	38	54	35	50	22	47	67	38	47	159	26	52	35	24
chr1_62582203_62582351_PATJ-NM_001350145.2	16	40	15	46	39	37	30	39	26	45	63	30	39	165	30	41	24	23
chr1_62582803_62582890_PATJ-NM_001350145.2	14	29	10	35	31	15	27	26	15	35	53	24	38	155	24	36	18	12
chr1_62586852_62586967_PATJ-NM_001350145.2	11	27	14	33	26	25	32	23	12	33	58	18	33	152	22	25	13	12
chr1_62588692_62588730_PATJ-NM_001350145.2	4	14	17	32	20	25	19	22	10	24	49	13	17	94	13	14	8	7
chr1_62593643_62593766_PATJ-NM_001350145.2	5	20	18	37	25	36	23	25	15	27	57	22	25	88	16	21	12	4
chr1_62594512_62594617_PATJ-NM_001350145.2	3	19	16	34	29	34	24	29	14	20	49	30	32	106	17	24	10	5
chr1_62613955_62614062_PATJ-NM_001350145.2	4	25	21	26	29	35	20	27	13	17	41	30	23	111	24	17	12	5
chr1_62619029_62619153_PATJ-NM_001350145.2	3	3	5	6	7	6	6	5	3	2	14	2	8	40	8	7	5	2
chr1_62626579_62626604_PATJ-NM_176877.4	4	18	12	17	18	29	13	23	9	12	28	16	16	80	21	14	11	7
chr1_62626579_62626723_PATJ-NM_001350145.2	10	32	21	23	36	37	22	35	17	22	42	24	25	125	29	24	14	14
chr1_62921087_62921127_DOCK7-NM_001367561.1	115	158	176	151	332	191	520	140	227	156	836	321	496	798	300	216	389	150
chr1_62923208_62923376_DOCK7-NM_001367561.1	200	271	302	252	607	324	895	219	407	271	1554	557	890	1305	548	396	596	264
chr1_62939652_62939759_DOCK7-NM_001367561.1	175	233	284	227	541	267	760	183	385	225	1373	462	759	983	464	341	468	221
chr1_62940878_62941022_DOCK7-NM_001367561.1	281	304	372	296	687	378	1075	227	524	272	1691	565	957	1327	596	419	621	261
chr1_62941377_62941614_DOCK7-NM_001367561.1	384	447	573	457	975	600	1598	330	746	433	2456	743	1396	2077	921	640	1007	355
chr1_62941737_62941827_DOCK7-NM_001367561.1	238	320	369	289	636	402	1035	207	464	270	1591	496	994	1442	612	411	638	238
chr1_62943370_62943496_DOCK7-NM_001367561.1	243	326	354	283	614	370	1017	219	480	259	1706	522	995	1262	647	384	646	251
chr1_62943370_62943505_DOCK7-NM_001272001.1	244	328	357	285	618	372	1022	219	481	260	1723	528	1004	1273	653	387	649	251
chr1_62953068_62953083_DOCK7-NM_001367561.1	24	39	41	40	55	50	177	26	59	46	143	46	105	171	60	39	75	25
chr1_62954604_62954736_DOCK7-NM_001367561.1	228	289	344	252	653	343	919	205	445	246	1573	479	843	1094	600	340	593	217
chr1_62958374_62958518_DOCK7-NM_001367561.1	180	254	301	241	600	301	797	197	368	204	1319	393	716	953	504	318	489	170
chr1_62959945_62960138_DOCK7-NM_001367561.1	221	273	316	343	645	401	933	238	431	221	1549	486	819	1034	577	372	618	223
chr1_62961251_62961352_DOCK7-NM_001367561.1	150	188	208	216	397	257	615	159	295	150	1045	336	511	615	384	255	412	165
chr1_62962009_62962168_DOCK7-NM_001367561.1	214	240	313	267	519	334	836	230	394	206	1393	495	753	825	563	363	558	218
chr1_62970300_62970453_DOCK7-NM_001367561.1	218	277	362	335	645	390	1016	275	455	235	1559	572	908	994	657	394	659	274
chr1_62971352_62971487_DOCK7-NM_001367561.1	198	317	387	327	727	435	1074	290	455	289	1708	599	984	1288	701	445	751	326
chr1_62973632_62973729_DOCK7-NM_001367561.1	201	293	350	322	689	411	985	250	426	268	1595	549	856	1177	641	424	763	296
chr1_62976247_62976344_DOCK7-NM_001367561.1	229	324	371	365	689	421	1043	256	462	273	1594	563	867	1146	664	455	829	307
chr1_62979114_62979277_DOCK7-NM_001367561.1	232	282	350	309	640	370	1042	248	461	240	1510	510	693	825	612	420	742	271
chr1_62979141_62979277_DOCK7-NM_001272001.1	227	273	347	300	624	365	1029	246	454	238	1480	504	688	807	599	414	722	257
chr1_62979386_62979569_DOCK7-NM_001367561.1	240	243	335	320	664	386	1116	260	506	272	1621	570	656	832	641	419	668	240
chr1_62993821_62993976_DOCK7-NM_001367561.1	226	221	313	312	618	348	1032	232	412	261	1520	504	588	826	572	399	597	211
chr1_62994947_62995117_DOCK7-NM_001367561.1	241	202	323	271	601	333	972	224	420	268	1462	456	569	811	568	374	574	227
chr1_63001163_63001303_DOCK7-NM_001367561.1	197	153	266	230	513	306	816	199	398	245	1230	394	477	612	482	287	482	173
chr1_63003561_63003732_DOCK7-NM_001367561.1	226	161	320	237	546	293	911	196	444	269	1385	436	475	709	484	284	493	175
chr1_63005215_63005329_DOCK7-NM_001367561.1	183	128	274	203	468	249	775	141	370	195	1171	356	428	615	417	262	423	181
chr1_63005422_63005563_DOCK7-NM_001367561.1	236	170	275	219	504	307	796	168	370	213	1307	403	518	635	435	300	472	198
chr1_63008278_63008374_DOCK7-NM_001367561.1	179	151	207	185	396	251	556	143	288	144	1008	321	413	529	329	235	382	136
chr1_63009326_63009416_DOCK7-NM_001367561.1	152	140	205	200	401	250	601	153	281	133	944	322	399	528	369	247	404	125
chr1_63010617_63010710_DOCK7-NM_001367561.1	4	5	8	12	10	20	20	9	7	10	16	28	8	49	19	26	18	2
chr1_63018402_63018572_DOCK7-NM_001367561.1	201	163	248	250	499	316	837	220	400	183	1321	413	503	705	468	331	533	185
chr1_63021495_63021660_DOCK7-NM_001367561.1	207	158	235	231	449	277	816	214	397	189	1266	389	466	610	471	296	524	190
chr1_63024659_63024891_DOCK7-NM_001367561.1	226	202	325	271	557	321	1006	260	477	233	1507	477	561	686	575	366	577	232
chr1_63027287_63027374_DOCK7-NM_001367561.1	149	125	201	162	333	180	635	171	282	156	932	298	355	440	359	228	373	136
chr1_63042932_63043034_DOCK7-NM_001367561.1	159	144	252	194	373	210	686	177	292	178	1054	344	391	533	376	287	453	169
chr1_63044498_63044637_DOCK7-NM_001367561.1	143	177	310	214	428	227	758	185	347	202	1231	417	447	614	407	325	566	197
chr1_63048854_63048925_DOCK7-NM_001367561.1	100	164	227	167	339	179	582	138	254	164	878	326	339	472	281	252	407	178
chr1_63050453_63050549_DOCK7-NM_001272002.2	14	3	2	1	41	3	54	8	40	4	19	9	21	23	19	6	24	2
chr1_63052177_63052295_DOCK7-NM_001367561.1	156	204	286	208	527	253	799	177	381	198	1256	372	512	652	423	312	563	211
chr1_63084376_63084539_DOCK7-NM_001367561.1	191	208	299	233	644	304	875	210	428	188	1366	423	538	792	516	354	621	218
chr1_63085570_63085664_DOCK7-NM_001367561.1	147	159	236	197	571	260	714	167	367	143	1068	358	434	720	416	285	507	177
chr1_63090929_63091072_DOCK7-NM_001367561.1	200	202	317	241	703	313	846	188	476	184	1316	420	588	896	541	353	652	237
chr1_63096910_63097076_DOCK7-NM_001367561.1	203	184	327	244	597	297	851	189	520	195	1299	417	539	766	519	371	649	268
chr1_63099168_63099249_DOCK7-NM_001367561.1	119	121	200	174	351	187	541	127	301	130	813	255	359	407	369	236	409	169
chr1_63100443_63100593_DOCK7-NM_001367561.1	155	154	253	197	434	206	651	145	348	145	962	342	430	482	461	292	483	194
chr1_63102207_63102274_DOCK7-NM_001367561.1	125	142	196	143	336	154	481	108	257	114	742	257	334	368	323	222	400	145
chr1_63113361_63113447_DOCK7-NM_001367561.1	118	151	192	138	370	172	498	130	283	121	872	287	371	433	357	256	432	162
chr1_63113776_63113989_DOCK7-NM_001367561.1	188	244	293	236	591	291	819	202	391	190	1222	384	576	623	532	394	655	270
chr1_63114085_63114215_DOCK7-NM_001367561.1	122	157	202	164	420	209	582	144	257	138	817	249	356	417	347	256	411	185
chr1_63119395_63119464_DOCK7-NM_001367561.1	97	128	168	136	385	190	467	122	207	113	715	206	281	374	258	169	321	139
chr1_63119654_63119830_DOCK7-NM_001367561.1	132	164	206	168	517	249	557	140	248	143	831	217	352	464	295	204	390	184
