	Dekker_et_al_individual2_CHX	Dekker_et_al_individual2_untreated	Dekker_et_al_individual4_CHX	Dekker_et_al_individual4_untreated	Dekker_et_al_individual3_CHX	Dekker_et_al_individual3_untreated	Dekker_et_al_individual1_CHX	Dekker_et_al_individual1_untreated	Dekker_et_al_individual5_CHX	Dekker_et_al_individual5_untreated	Dekker_et_al_individual9_CHX	Dekker_et_al_individual9_untreated	Dekker_et_al_individual7_CHX	Dekker_et_al_individual7_untreated	Dekker_et_al_individual8_CHX	Dekker_et_al_individual8_untreated	Dekker_et_al_individual6_CHX	Dekker_et_al_individual6_untreated
chr1_62237298_62240877_PATJ	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
chr1_62241006_62253425_PATJ	0	0	0	1	0	2	0	0	0	0	0	1	1	1	0	0	1	0
chr1_62253644_62257019_PATJ	0	2	0	0	0	0	0	2	0	2	3	0	0	6	1	0	0	0
chr1_62257119_62261138_PATJ	0	1	0	4	0	0	0	0	0	2	3	2	2	1	0	0	2	1
chr1_62261230_62262958_PATJ	0	0	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0	0
chr1_62263100_62267294_PATJ	0	1	0	0	4	1	0	0	0	0	1	1	0	7	0	1	0	0
chr1_62267441_62271119_PATJ	0	0	0	1	0	0	0	2	0	2	0	0	1	9	1	0	0	0
chr1_62271196_62274145_PATJ	0	2	2	1	1	2	4	0	1	3	6	0	0	7	1	0	0	0
chr1_62274202_62288616_PATJ	0	2	0	0	0	1	1	0	0	0	1	0	0	4	0	1	0	0
chr1_62288751_62293093_PATJ	3	1	3	1	7	0	2	2	5	2	10	7	2	12	5	1	1	4
chr1_62293255_62299325_PATJ	0	2	4	0	3	0	0	0	0	1	0	1	0	9	0	0	0	2
chr1_62299457_62321701_PATJ	0	23	7	6	3	14	5	8	4	4	7	12	5	31	9	11	10	12
chr1_62321911_62327222_PATJ	0	0	0	0	1	0	2	0	0	0	3	0	2	2	0	0	0	0
chr1_62327339_62329909_PATJ	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	1
chr1_62330305_62340914_PATJ	3	6	4	0	3	2	0	0	3	1	16	4	8	11	2	0	0	2
chr1_62341038_62349908_PATJ	3	2	0	0	3	2	1	0	3	0	1	3	3	3	1	1	1	0
chr1_62350080_62365254_PATJ	2	0	1	0	1	0	0	1	2	0	2	5	3	4	1	0	1	0
chr1_62365326_62366953_PATJ	0	0	0	1	0	0	2	0	1	0	5	0	0	1	0	0	3	0
chr1_62367131_62374043_PATJ	1	2	0	0	1	0	0	0	0	0	0	1	2	5	0	0	0	0
chr1_62374154_62380258_PATJ	1	0	0	1	0	0	1	0	0	0	3	0	0	3	2	0	3	2
chr1_62380336_62393401_PATJ	7	12	3	8	5	10	8	8	2	15	14	11	1	21	0	11	2	11
chr1_62393501_62455839_PATJ	15	22	5	7	26	15	24	5	16	4	33	16	11	24	9	9	19	5
chr1_62456036_62483527_PATJ	3	15	7	6	9	2	18	0	17	0	47	5	30	25	9	7	17	3
chr1_62483619_62503648_PATJ	0	8	0	1	0	2	2	0	0	3	3	0	3	4	0	3	4	0
chr1_62503721_62516637_PATJ	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0	0	0	0
chr1_62516730_62545121_PATJ	4	1	6	0	2	3	2	2	0	4	4	2	4	12	0	0	2	2
chr1_62545239_62550186_PATJ	1	0	3	0	4	1	1	1	1	0	1	0	0	4	0	0	3	0
chr1_62550320_62574108_PATJ	2	13	5	10	7	10	3	6	1	5	8	3	3	21	4	4	2	2
chr1_62574192_62579724_PATJ	0	4	0	4	1	0	1	1	2	2	3	1	1	4	2	0	1	0
chr1_62579918_62582203_PATJ	0	16	3	22	4	21	4	16	4	13	0	16	8	87	5	10	0	6
chr1_62582351_62582803_PATJ	0	1	0	3	0	1	2	2	0	5	0	0	1	16	0	2	0	1
chr1_62582890_62586852_PATJ	2	4	3	10	2	2	3	8	0	2	6	4	1	18	3	6	2	0
chr1_62586967_62588692_PATJ	2	0	12	0	0	1	0	0	1	0	4	1	2	0	4	0	1	0
chr1_62588730_62593643_PATJ	0	0	0	0	0	0	2	0	1	0	0	2	4	1	0	1	1	1
chr1_62593766_62594512_PATJ	0	0	0	1	0	1	0	0	0	0	0	0	0	6	0	0	0	0
chr1_62594617_62613955_PATJ	1	6	3	4	1	2	6	6	2	1	8	9	10	8	4	1	3	2
chr1_62614062_62619029_PATJ	0	20	1	4	1	8	2	2	0	3	4	4	3	27	1	3	0	6
chr1_62619153_62626579_PATJ	0	10	0	15	2	4	0	5	0	0	2	3	1	25	2	0	2	6
chr1_62626723_62629621_PATJ	29	100	83	102	82	95	113	107	71	84	229	132	103	410	116	81	78	57
chr1_62920396_62921087_DOCK7	159	211	228	226	446	262	710	204	339	231	1278	468	702	988	419	285	520	209
chr1_62921127_62923208_DOCK7	0	2	0	7	0	4	0	0	0	12	2	2	3	7	2	0	1	4
chr1_62923376_62939652_DOCK7	4	13	6	8	2	2	26	14	7	12	27	18	19	50	13	6	6	4
chr1_62939759_62940878_DOCK7	21	9	26	10	29	13	30	9	23	11	62	14	34	83	19	15	17	6
chr1_62941022_62941377_DOCK7	2	4	12	2	8	1	2	0	1	2	7	4	3	13	2	1	7	1
chr1_62941614_62941737_DOCK7	3	6	0	0	7	0	6	0	0	0	8	4	2	9	2	0	2	0
chr1_62941827_62943370_DOCK7	40	14	62	7	69	30	67	9	52	20	164	17	111	162	54	16	88	14
chr1_62943505_62953068_DOCK7	50	58	42	67	87	73	234	66	72	51	213	90	121	217	53	60	67	25
chr1_62953083_62954604_DOCK7	10	9	6	11	19	14	31	9	12	10	56	14	18	28	5	8	6	9
chr1_62954736_62958374_DOCK7	1	6	7	2	6	5	13	10	4	0	33	8	9	34	8	6	5	1
chr1_62958518_62959945_DOCK7	19	6	11	4	13	14	18	4	9	2	36	15	24	29	6	3	13	6
chr1_62960138_62961251_DOCK7	0	0	2	2	1	2	1	0	0	2	2	1	0	2	0	1	0	0
chr1_62961352_62962009_DOCK7	0	0	1	3	0	0	2	1	0	0	1	0	0	7	0	0	3	0
chr1_62962168_62970300_DOCK7	0	1	0	0	2	2	2	2	0	3	2	0	1	9	0	2	0	1
chr1_62970453_62971352_DOCK7	0	0	0	1	1	0	0	0	1	0	5	1	5	0	0	0	0	0
chr1_62971487_62973632_DOCK7	2	0	1	0	3	2	19	2	2	1	6	1	7	5	1	1	7	2
chr1_62973729_62976247_DOCK7	11	0	3	0	10	0	20	1	8	2	32	6	5	4	14	3	7	2
chr1_62976344_62979114_DOCK7	0	7	1	15	10	5	7	7	8	7	20	7	7	20	6	8	17	4
chr1_62979277_62979386_DOCK7	0	7	2	0	2	1	11	4	1	0	0	1	0	0	1	0	0	0
chr1_62979569_62993821_DOCK7	0	4	1	2	1	4	17	0	4	3	9	1	3	10	1	2	1	0
chr1_62993976_62994947_DOCK7	0	0	0	0	0	0	1	0	0	0	0	0	1	3	0	1	1	0
chr1_62995117_63001163_DOCK7	4	4	0	0	1	2	4	2	3	1	7	5	0	4	1	6	0	2
chr1_63001303_63003561_DOCK7	18	4	3	2	14	0	11	2	5	5	16	3	9	23	3	0	7	6
chr1_63003732_63005215_DOCK7	1	2	0	0	0	0	3	2	4	3	10	1	1	7	0	1	2	0
chr1_63005329_63005422_DOCK7	20	1	17	6	11	2	6	2	6	4	12	1	4	16	2	3	7	4
chr1_63005563_63008278_DOCK7	0	0	6	2	4	4	15	3	1	3	11	5	7	25	3	0	3	2
chr1_63008374_63009326_DOCK7	8	3	8	5	12	5	22	5	7	6	53	3	18	12	10	0	12	11
chr1_63009416_63010617_DOCK7	0	0	3	0	0	5	2	0	2	4	0	5	5	16	3	12	2	1
chr1_63010710_63018402_DOCK7	1	13	0	15	2	18	14	4	6	14	2	19	11	37	2	27	6	6
chr1_63018572_63021495_DOCK7	1	3	0	0	0	0	8	1	4	0	10	0	2	13	1	9	6	1
chr1_63021660_63024659_DOCK7	0	9	2	2	0	2	2	0	0	0	2	5	5	7	2	0	0	2
chr1_63024891_63027287_DOCK7	0	2	5	0	1	1	8	1	1	2	3	2	3	3	0	1	8	1
chr1_63027374_63042932_DOCK7	0	6	11	3	2	3	26	5	6	0	12	3	7	3	4	3	6	3
chr1_63043034_63044498_DOCK7	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0
chr1_63044637_63048854_DOCK7	4	3	9	2	7	4	11	3	5	1	17	5	18	28	1	2	1	2
chr1_63048925_63050453_DOCK7	17	4	10	3	58	14	59	5	67	7	49	11	34	49	40	13	47	3
chr1_63050549_63052177_DOCK7	13	6	7	9	8	14	28	6	14	2	18	15	10	22	8	9	15	7
chr1_63052295_63063237_DOCK7	21	9	12	6	14	6	17	6	10	7	28	5	11	19	5	8	14	4
chr1_63063732_63064366_DOCK7	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
chr1_63064477_63066752_DOCK7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
chr1_63066867_63067439_DOCK7	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_63067553_63067955_DOCK7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_63068051_63069639_DOCK7	0	1	0	0	0	2	0	2	0	0	0	0	2	0	2	1	0	0
chr1_63069906_63070303_DOCK7	0	1	0	0	1	0	0	1	0	0	0	1	1	0	0	3	0	0
chr1_63070485_63084376_DOCK7	8	6	2	0	2	2	11	6	2	5	9	8	4	4	9	9	4	0
chr1_63084539_63085570_DOCK7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0
chr1_63085664_63090929_DOCK7	10	7	34	5	110	12	81	8	45	0	88	12	51	50	30	10	44	1
chr1_63091072_63096910_DOCK7	2	1	3	1	3	1	6	3	10	3	11	4	1	18	4	6	4	0
chr1_63097076_63099168_DOCK7	0	0	2	1	0	2	9	0	0	0	9	0	3	0	2	0	1	0
chr1_63099249_63100443_DOCK7	0	0	1	3	6	3	11	0	8	2	26	3	8	13	5	7	7	5
chr1_63100593_63102207_DOCK7	0	0	8	0	0	0	29	2	3	0	2	3	0	0	2	0	4	2
chr1_63102274_63113361_DOCK7	3	6	2	5	11	2	24	5	6	0	35	7	20	14	7	5	25	6
chr1_63113447_63113776_DOCK7	2	6	8	6	7	5	14	2	12	4	26	10	14	8	5	7	9	8
chr1_63113989_63114085_DOCK7	0	5	6	3	5	8	13	2	3	2	30	8	8	19	7	5	7	6
chr1_63114215_63119395_DOCK7	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	3	0
chr1_63119464_63119654_DOCK7	2	0	2	3	1	0	6	4	5	0	11	1	1	4	1	2	4	0
chr1_63119830_63128695_DOCK7	1	0	3	0	1	2	1	0	0	0	2	1	4	1	0	1	1	2
chr1_63128801_63153897_DOCK7	20	19	25	27	66	21	89	28	32	22	95	21	29	76	41	15	54	22
chr1_63153935_63154057_DOCK7	67	68	82	74	242	102	228	69	70	63	310	37	139	142	47	39	150	88
chr1_68511568_68512293_DIRAS3	23	1	85	77	53	27	119	6	52	23	389	93	68	70	104	22	70	5
chr1_68512980_68517314_DIRAS3	13	3	74	39	61	19	113	3	29	4	287	55	38	37	69	16	70	9
chr1_142697420_142713605_ANKRD20A12P	17	2	1	1	14	9	4	2	27	28	25	17	67	80	14	20	30	15
chr1_147954634_147954852_PPIAL4G	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
chr1_147955344_147955377_PPIAL4G	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
chr1_150618705_150620799_GOLPH3L	211	397	492	435	909	631	664	556	395	495	2170	840	1610	1476	933	533	730	446
chr1_150621224_150634289_GOLPH3L	49	12	122	17	81	6	89	12	34	11	241	16	321	51	93	5	152	6
chr1_150634404_150636107_GOLPH3L	12	9	7	6	8	2	3	6	0	13	20	17	16	88	13	6	12	1
chr1_150636239_150667131_GOLPH3L	12	36	60	21	62	27	96	34	23	20	255	64	112	151	36	25	82	41
chr1_150667314_150669630_GOLPH3L	38	73	86	57	142	97	113	78	35	54	309	124	239	293	159	97	149	92
chr1_151009061_151009201_BNIPL	0	2	0	0	0	1	2	0	1	0	1	0	6	0	1	0	2	0
chr1_151009242_151010042_BNIPL	0	5	3	0	4	2	11	0	0	0	5	2	21	2	4	0	4	0
chr1_151010138_151010979_BNIPL	2	2	5	5	1	1	3	0	0	0	10	2	10	14	2	0	0	0
chr1_151011044_151011271_BNIPL	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
chr1_151011502_151015431_BNIPL	0	2	1	0	1	0	2	0	0	0	0	5	4	0	4	0	1	0
chr1_151015614_151015807_BNIPL	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	0
chr1_151015910_151016071_BNIPL	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0
chr1_151016203_151018272_BNIPL	0	2	1	0	4	4	0	3	0	0	13	2	7	2	0	0	2	2
chr1_151018359_151018542_BNIPL	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0
chr1_151018641_151019126_BNIPL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
chr1_151019160_151020196_BNIPL	0	1	0	2	2	1	3	2	2	0	13	8	28	4	0	2	4	1
chr1_172106018_172113975_DNM3OS	1178	1031	701	1957	2650	1881	3716	2956	3206	1439	2756	2792	2167	8119	1143	3712	1666	2497
chr1_173832385_173833079_GAS5-AS1	65	168	145	310	492	328	790	348	327	179	852	418	372	1702	258	213	321	257
chr1_177897922_177898995_CRYZL2P-SEC16B	2	21	15	58	11	68	5	35	0	44	19	101	20	202	18	77	6	55
